is_breaking_time,is_working_time,is_sleeping_time,time_cos,time_since_last_msg,mood,boredom,energy,noise,target
False,True,False,-0.866,2451,-33,-61,-46,0.04,0
False,True,False,-0.259,257,-76,32,-57,0.756,1
False,True,False,-0.707,2848,-19,15,7,0.022,0
False,False,True,0.5,48,-25,87,50,0.042,0
False,False,True,0.966,1083,-80,-6,-13,0.359,0
False,True,False,-0.866,10,78,67,82,0.574,0
False,True,False,-0.0,317,-44,-56,61,0.754,0
False,True,False,-0.0,391,90,-20,2,0.161,1
True,False,False,-0.0,253,-44,-58,78,0.558,0
False,False,False,-0.2,1620,-88,-88,90,0.908,0
False,True,False,-0.707,617,-60,-51,41,0.904,0
False,False,True,0.5,3,-98,-68,27,0.19,0
True,False,False,-0.0,2876,-85,-89,85,0.062,0
True,False,False,-0.966,0,42,78,76,0.033,1
False,False,True,0.866,1514,85,-37,14,0.67,0
False,False,True,0.866,197,19,36,-5,0.219,0
False,False,True,0.0,265,-72,60,69,0.247,0
False,True,False,-0.0,315,-6,14,3,0.158,0
False,False,True,0.259,338,33,79,99,0.855,0
False,False,False,-0.991,258,-91,96,-56,0.323,0
False,True,False,-0.966,52,-97,-91,88,0.882,0
True,False,False,0.259,282,59,89,-31,0.376,1
False,True,False,-0.5,79,29,52,79,0.504,1
True,False,False,0.5,842,-5,17,12,0.382,1
True,False,False,-1.0,2871,-22,-52,60,0.473,0
True,False,False,-1.0,8,7,-17,20,0.056,0
False,False,True,0.0,609,-88,93,-60,0.773,0
True,False,False,-1.0,143,80,20,65,0.809,1
False,True,False,-0.0,266,61,22,60,0.416,0
False,True,False,-0.5,2510,-52,69,76,0.025,1
False,True,False,-0.866,7,-79,-24,89,0.979,0
False,False,False,-0.74,5,-33,-12,-30,0.437,0
False,True,False,-0.259,1162,9,-35,-50,0.572,0
False,True,False,-0.707,8,47,91,88,0.95,0
False,True,False,-0.0,5,-9,-64,44,0.857,0
True,False,False,-1.0,135,73,32,66,0.238,1
False,False,True,0.0,127,31,64,81,0.7,1
False,False,False,0.534,1920,72,92,85,0.183,1
False,True,False,-0.707,82,-98,13,100,0.461,0
False,False,True,-0.259,154,1,-3,9,0.08,0
False,False,True,-0.259,101,-98,-86,44,0.542,0
True,False,False,0.5,89,-44,30,60,0.676,1
True,False,False,0.707,83,1,53,80,0.045,1
False,False,True,1.0,314,29,62,75,0.27,0
False,True,False,-0.966,321,-33,-90,-18,0.405,0
False,False,False,-0.425,225,-6,62,97,0.973,1
False,True,False,-0.259,68,-85,5,90,0.184,0
False,True,False,-0.5,5,-7,-2,-42,0.294,0
True,False,False,0.259,339,-100,69,93,0.524,1
False,False,False,-0.529,111,-4,-33,20,0.564,0
False,False,True,0.966,177,-92,93,-98,0.847,0
False,True,False,-0.0,210,41,33,-13,0.707,1
True,False,False,-0.0,6,-70,36,95,0.768,1
False,False,False,-0.857,2,-3,-10,31,0.076,1
False,True,False,-0.866,569,65,87,62,0.502,1
False,True,False,-0.0,1864,-5,-31,-18,0.848,0
True,False,False,-1.0,356,-35,-26,-96,0.429,1
False,False,True,0.259,2248,88,36,-7,0.433,0
False,False,False,0.802,859,16,-14,55,0.251,1
False,False,False,0.728,1358,100,-95,99,0.857,0
False,True,False,-0.259,67,60,60,67,0.46,0
False,True,False,-0.5,295,4,-5,61,0.532,1
False,False,True,0.866,2230,30,64,75,0.505,1
False,True,False,-0.5,275,61,17,96,0.233,1
False,False,True,0.966,518,35,66,-73,0.098,0
False,True,False,-0.0,299,-34,0,40,0.5,0
False,False,False,-0.669,68,25,94,-57,0.508,0
False,False,True,0.966,10,40,-50,-38,0.63,0
False,False,True,0.5,3,-51,-37,85,0.071,0
False,False,False,-0.777,1738,-30,-58,45,0.248,0
False,False,False,0.912,51,81,20,54,0.269,0
True,False,False,0.5,309,72,78,69,0.478,1
True,False,False,-0.966,133,-22,-73,56,0.081,1
False,False,False,-0.246,9,58,79,-74,0.411,0
True,False,False,-0.966,150,2,-36,30,0.044,1
False,False,True,0.966,336,-53,-76,65,0.458,0
False,True,False,-0.5,2581,-53,-74,54,0.483,0
True,False,False,-1.0,61,-21,47,97,0.464,0
False,False,False,-0.507,8,63,5,45,0.684,1
True,False,False,-1.0,301,-69,39,64,0.515,1
True,False,False,-0.0,0,-25,-64,67,0.031,0
True,False,False,0.5,596,3,5,65,0.273,1
False,True,False,-0.0,321,21,63,-34,0.779,1
True,False,False,0.707,118,-95,-86,-4,0.065,0
False,True,False,-0.707,334,-29,-22,32,0.867,0
False,False,True,0.259,158,26,96,0,0.307,0
False,True,False,-0.866,2817,-45,-67,63,0.917,1
False,False,False,-0.923,2,97,95,88,0.276,1
False,True,False,-0.707,2550,-68,-49,94,0.627,0
False,False,True,-0.259,5,54,93,76,0.291,0
True,False,False,-1.0,219,-54,40,93,0.074,1
False,False,True,0.966,1647,1,9,-53,0.704,0
False,False,True,0.0,300,88,-100,18,0.602,0
True,False,False,-0.0,172,-1,-31,26,0.717,1
False,True,False,-0.966,288,30,71,-64,0.377,0
False,False,False,0.956,502,-42,28,7,0.658,1
True,False,False,-0.966,67,64,58,70,0.99,1
False,False,False,-0.828,142,93,-96,-45,0.318,0
False,True,False,-0.259,258,-58,-67,91,0.741,0
False,False,True,0.866,0,43,93,-50,0.657,0
True,False,False,0.5,8,83,52,47,0.575,1
True,False,False,-0.966,588,91,87,97,0.508,1
